id_correspondance,old_artisan_url,new_artisan_url,count_old,count_new,count_sum,,new actif
1,ag_plus,ag_plus_energies,,644,644,,1
11,abiso_82,ab_iso_82,,917,917,,1
13,tigneres_teddy_carrelages,tigneres_teddy_carrelage,,81,81,,0
15,couleur_soleil_(sarl),couleur_soleil_albi,,7521,7521,,1
16,maison_confort_2,maison_confort_graulhet,,981,981,,1
17,vincent_sas,vincent_(sas),47,10,57,,0
18,elec_systeme_-_philippe_moreau,moreau_philippe,,126,126,,0
19,pradines_constructions,pradines_pierre,3,207,210,,0
20,alvernhe-lassaux,alvernhe_lassaux,,33,33,,1
21,i.c.s.lartigue,ics_lartigue,,18,18,,0
22,ami_bois,ami_bois_toulouse,,1958,1958,,0
23,test,test_test,,,0,,0
25,espaces_amp_co,espaces_and_co,,,0,,0
26,blanc_amp_fils,blanc_et_fils,,33,33,,0
28,olmieres_constructions,olmiere_constructions,,2872,2872,,0
29,espaces_and_co,espaces_et_co,,362,362,,0
31,causse_claude,causse_electricite,,33,33,,1
33,causse_claude_et_jacqueline,causse_electricite,,33,33,,1
34,abtp,eco_terrassement,8,648,656,,1
35,fred_eau_toulouse,fred_eau,,849,849,,1
36,conseil_expertise_travaux,conseils_expertises_travaux,,5738,5738,,1
37,charpente_et_maisons_bois_serge_goacolou_(ami_bois),charpente_et_maisons_bois_serge_goacolou,,915,915,,1
39,ntc_home,n.t.c_home,,712,712,,0
40,ambiance_pierre_decopierre,ambiance_pierre,,1120,1120,,1
41,a_l_eau_plombiers,a_l_eau_plombier,,9,9,,1
42,oc_residence,oc_residences_albi,,1823,1823,,1
43,j.m._camps_(sasu),jm_camps,,3216,3216,,1
44,j.m_camps_(_sasu),jm_camps,,3216,3216,,1
45,bories_gerard_(sarl),bories_gerard,,1,1,,1
46,blanc_et_fils_(sarl),blanc_et_fils,,33,33,,0
47,massol_stephane_,massol_stephane_(eurl),,16,16,,0
48,massol_stephane,massol_stephane_(eurl),,16,16,,0
49,loubet_,loubet_(sas),1,2,3,,0
50,a.m.i_bois,ami_bois_toulouse,4,1958,1962,,0
51,david_beziat_peinture_en_batiment_,david_beziat_peinture_en_batiment_(sas),2,10,12,,0
52,baita_(sarl),baita_sarl,,2760,2760,,1
53,manresa,manresa_(sarl),1,10,11,,0
54,olmiere_constructions_(sa),olmiere_constructions,10,2872,2882,,0
55,rs_confort_plus,rs_confort_plus_rastoul_santoul,1,140,141,,0
56,pons_,pons_(sarl),,2,2,,0
57,rubio_freres_,rubio_freres_(ets),3,9,12,,0
58,rouffiac_alain_(sarl),alain_rouffiac_et_fils_(ets),1,133,134,,0
59,ainceur_abdelnord,ainceur_clim,1,688,689,,1
60,bati_france,maisons_bati_france,1,394,395,,1
61,fuentes_jean-francois,jm_camps,1,3216,3217,,1
62,dupont_,dupont_(sarl),,15,15,,0
63,batut_et_fils_electricite_,batut_et_fils_electricite_(sas),,3,3,,0
64,calvignac_lionel_,calvignac_lionel_(sarl),,17,17,,0
65,ta_charpente_et_fils_,ta_charpente_et_fils_(sarl),,1,1,,0
66,rudelle_,rudelle_(sarl),,,0,,0
67,resseguier_,resseguier_(sarl),,163,163,,0
68,beg_,beg_(bruniquel_electricite_generale),,1,1,,0
69,virazels_philippe_,virazels_philippe_(sarl),,11,11,,0
70,poquet_sebastien_,poquet_sebastien_(sarl),,2,2,,0
72,tmp_,tmp_(toiture_midi-pyrenees),,11,11,,0
73,massol_et_cie_,massol_et_cie_(sarl),,,0,,0
74,m.l.a.81,m.l.a_81,1,8,9,,0
75,mobalpa_turini_bernard,cuisines_turini,2,4300,4302,,0
76,technisol,btbj,2,2074,2076,,1
77,pardo_(ets),pardo_ets,2,20,22,,1
78,pardo_,pardo_ets,1,20,21,,1
79,lionel_sicard,concept_cuisine_81,1,2862,2863,,1
80,perie_luc,extend,,12380,12380,,1
81,les_coteaux,extend,,12380,12380,,1
82,oc_residences,oc_residences_albi,2,1823,1825,,1
83,ddeseille_alexandre,deseille_alexandre,,49,49,,1
84,ablb,ablb_associes,42,96,138,,1
85,fernandez_jean-claude,jean-claude_fernandez_sarl,13,92,105,,0
86,maurel_et_fils,maurel_et_fils_ets,54,2084,2138,,1
87,ama-917502-existedeja,ama_albi_menuiseries_aluminium,2,2998,3000,,1
88,protec_sud,protect_sud,1,527,528,,1
89,cuisine_mouysset,cuisines_mouysset,8,1008,1016,,1
91,btc,btc_(bois_toiture_charpente),3,13,16,,0
92,olmiere_constructions_,olmiere_constructions,2,2872,2874,,0
93,correch_,correch_(sarl),,3,3,,0
94,do_herve_,do_herve_(sarl),1,17,18,,0
95,entreprise_andral_amp_fils_,entreprise_andral_et_fils_(entreprise_de_batiment),,16,16,,0
96,entreprise_andral_amp_fils_(entreprise_de_batiment),entreprise_andral_et_fils_(entreprise_de_batiment),3,16,19,,0
97,eurl_monset,monset_serge,,12,12,,1
98,area,area_verandas_toulouse,1,3940,3941,,1
101,fratus_,fratus_(sarl),,10,10,,0
102,gomes_oliveira_,gomes_oliveira_(sarl),,10,10,,0
103,olmieres_constuction,olmiere_constructions,1,2872,2873,,0
104,gilles_truel_electricite,gilles_truel,,111,111,,1
105,truel_gilles,gilles_truel,1,111,112,,1
107,stores_et_fenetre,stores_et_fenetres,,45,45,,1
108,confort_3000_(sarl),confort_3000_sarl_decazeville,7,183,190,,1
109,ribeyrolles_stephane,ribeyrolles_stephane_srpiscines,,394,394,,1
112,franck_ricard,ricard_franck_menuiserie,,31,31,,1
120,vincent_,vincent_(sas),1,10,11,,0
122,ama,ama_albi_menuiseries_aluminium,17,2998,3015,,1
123,atelier_montalbanais,fenetres_et_tendances,5,2191,2196,,0
124,france_cuisine,sarl_gauthier_nicolas,6,288,294,,1
125,fernandez_jacques_,fernandez_jacques_(sarl),,6,6,,0
126,alcouffe,sarl_multifonctions_du_batiment,1,234,235,,1
127,lassaux_jacques,alvernhe_lassaux,1,33,34,,1
130,toujours_vert_castelnau,toujours_vert,22,2006,2028,,1
131,delmas_miroiterie,delmas_miroiterie_(sarl),1,26,27,,0
134,facon_patrick,concept_elec,5,399,404,,1
136,ecmp_montclar_de_quercy,ecmp_monclar_de_quercy,10,176,186,,1
137,atelier_d_architecture_rieudebat_(a.a.r(eurl),atelier_d_architecture_rieudebat_(aar_eurl),,4,4,,0
138,toujours_vert_OLD,toujours_vert,6,2006,2012,,1
139,hase_la_boutique_albi,flaam_albi,513,3870,4383,,1
140,archymade,archymade_balma,3633,560,4193,,0
141,barriere_laurent_(sarl),barriere_laurent_sarl,7,60,67,,1
142,barriere_laurent_,barriere_laurent_sarl,1,60,61,,1
143,albi_menuiseries_aluminium,ama_albi_menuiseries_aluminium,18,2998,3016,,1
147,atelier_du_fer,sarl_l_atelier_du_fer,2,292,294,,1
148,ceballo_jacques,mailhe,3,12,15,,1
149,peyre_maconnerie_terrassements,sarl_peyre_maconnerie_terrassements,1,605,606,,1
150,ateliers_du_rouergue_(les),ateliers_du_rouergue,8,84,92,,1
151,ateliers_du_rouergue_,ateliers_du_rouergue,1,84,85,,1
156,platrerie_peinture_landes_(sarl),platrerie_peinture_landes_sarl,,11,11,,1
157,platrerie_peinture_landes_,platrerie_peinture_landes_sarl,1,11,12,,1
161,olivier_mateo,pigments_et_decors,1,2,3,,1
162,sas_econergie,econergie,,2369,2369,,1
164,artisan_electricien_denis_gissot_(ae/dg),denis_gissot,,9,9,,1
165,habitat_26/07_(sarl),habitat_26_07_sarl,,3,3,,1
166,multi-services_46/47,multi-services_46_47,,,0,,0
167,action_24_/_24,action_24_sur_24,,,0,,1
168,bouisse/cmbc_(constructions_metalliques_bouisse_et_compagnie),bouisse_cmbc_constructions_metalliques_bouisse_et_compagnie,,5,5,,1
169,monaco_miroiterie_/_mc_fenetres,monaco_miroiterie_mc_fenetres,,,0,,1
170,stn_ss/sructure,stn_ss_sructure,,3,3,,1
171,gilbert_amp_peyre_electricite_-_gpe,gilbert_et_peyre_electricite_-_gpe,2,28,30,,0
172,ambiance_paysage_-_fabien_manelphe,ambiance_paysage_81_-_fabien_manelphe,373,2,375,,0
183,raval_bigorre,raval_bigorre_-_applicateur_exclusif_vertikal,2,359,361,,0
184,raval_facades_64,raval_facades_64_-_applicateur_exclusif_vertikal,1,999,1000,,0
